program_id,crop_id,crop_name,resource_tag,harvest_week_num,kg_harvested,units_harvested,seeding_date,transplant_date,harvest_date
898,1,Red Salanova Oakleaf,PNQ-GH4,2025-22,78.2,1137,2025-04-07 00:00:00+00,2025-05-01 00:00:00+00,2025-05-26 00:00:00+00
896,2,Red Salanova Butterhead,PNQ-GH4,2025-23,null,null,2025-04-14 00:00:00+00,2025-05-08 00:00:00+00,2025-06-02 00:00:00+00
897,3,Red Salanova Frisee,PNQ-GH4,2025-23,null,null,2025-04-07 00:00:00+00,2025-05-05 00:00:00+00,2025-06-02 00:00:00+00
898,1,Red Salanova Oakleaf,PNQ-GH4,2025-23,null,null,2025-04-14 00:00:00+00,2025-05-08 00:00:00+00,2025-06-02 00:00:00+00
896,2,Red Salanova Butterhead,PNQ-GH4,2025-24,null,null,2025-04-21 00:00:00+00,2025-05-15 00:00:00+00,2025-06-09 00:00:00+00
897,3,Red Salanova Frisee,PNQ-GH4,2025-24,null,null,2025-04-14 00:00:00+00,2025-05-12 00:00:00+00,2025-06-09 00:00:00+00
898,1,Red Salanova Oakleaf,PNQ-GH4,2025-24,null,null,2025-04-21 00:00:00+00,2025-05-15 00:00:00+00,2025-06-09 00:00:00+00
896,2,Red Salanova Butterhead,PNQ-GH4,2025-25,null,null,2025-04-28 00:00:00+00,2025-05-22 00:00:00+00,2025-06-16 00:00:00+00
897,3,Red Salanova Frisee,PNQ-GH4,2025-25,null,null,2025-04-21 00:00:00+00,2025-05-19 00:00:00+00,2025-06-16 00:00:00+00
898,1,Red Salanova Oakleaf,PNQ-GH4,2025-25,null,null,2025-04-28 00:00:00+00,2025-05-22 00:00:00+00,2025-06-16 00:00:00+00
896,2,Red Salanova Butterhead,PNQ-GH4,2025-26,null,null,2025-05-05 00:00:00+00,2025-05-29 00:00:00+00,2025-06-23 00:00:00+00
897,3,Red Salanova Frisee,PNQ-GH4,2025-26,null,null,2025-04-28 00:00:00+00,2025-05-26 00:00:00+00,2025-06-23 00:00:00+00
898,1,Red Salanova Oakleaf,PNQ-GH4,2025-26,null,null,2025-05-05 00:00:00+00,2025-05-29 00:00:00+00,2025-06-23 00:00:00+00
896,2,Red Salanova Butterhead,PNQ-GH4,2025-27,null,null,2025-05-12 00:00:00+00,2025-06-05 00:00:00+00,2025-06-30 00:00:00+00
897,3,Red Salanova Frisee,PNQ-GH4,2025-27,null,null,2025-05-05 00:00:00+00,2025-06-02 00:00:00+00,2025-06-30 00:00:00+00
898,1,Red Salanova Oakleaf,PNQ-GH4,2025-27,null,null,2025-05-12 00:00:00+00,2025-06-05 00:00:00+00,2025-06-30 00:00:00+00
896,2,Red Salanova Butterhead,PNQ-GH4,2025-28,null,null,2025-05-19 00:00:00+00,2025-06-12 00:00:00+00,2025-07-07 00:00:00+00
897,3,Red Salanova Frisee,PNQ-GH4,2025-28,null,null,2025-05-12 00:00:00+00,2025-06-09 00:00:00+00,2025-07-07 00:00:00+00
898,1,Red Salanova Oakleaf,PNQ-GH4,2025-28,95,750,2025-05-19 00:00:00+00,2025-06-12 00:00:00+00,2025-07-07 00:00:00+00
896,2,Red Salanova Butterhead,PNQ-GH4,2025-29,null,null,2025-05-26 00:00:00+00,2025-06-19 00:00:00+00,2025-07-14 00:00:00+00
897,3,Red Salanova Frisee,PNQ-GH4,2025-29,63,640,2025-05-19 00:00:00+00,2025-06-16 00:00:00+00,2025-07-14 00:00:00+00
